"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","Database","Group"
"EML4 And NUDC In Mitotic Spindle Formation R-HSA-9648025","7/97",0.000726761180854745,0.00989606474597211,0,0,5.09951690821256,36.853763170802,"INCENP;PLK1;CDCA8;KIF2C;NDC80;AURKB;SPC24","Reactome_2022","Downregulated"
"DNA Replication Pre-Initiation R-HSA-69002","8/127",0.000761466463659853,0.0101986573903295,0,0,4.41599458575377,31.7080088314458,"H2AX;POLA1;POLA2;UBE2C;PRIM1;CDK2;MCM10;POLE","Reactome_2022","Downregulated"
"RHOC GTPase Cycle R-HSA-9013106","6/73",0.000879993029287489,0.0115556701611781,0,0,5.85880597014925,41.2201951983509,"ANLN;ABCD3;ARHGEF12;RACGAP1;FLOT1;FLOT2","Reactome_2022","Downregulated"
"Chk1/Chk2(Cds1) Mediated Inactivation Of Cyclin B:Cdk1 Complex R-HSA-75035","3/13",0.000905217736004161,0.0115556701611781,0,0,19.4891089108911,136.566715982723,"CCNB1;CHEK1;CDK1","Reactome_2022","Downregulated"
"Inhibition Of Replication Initiation Of Damaged DNA By RB1/E2F1 R-HSA-113501","3/13",0.000905217736004161,0.0115556701611781,0,0,19.4891089108911,136.566715982723,"POLA1;POLA2;PRIM1","Reactome_2022","Downregulated"
"Activation Of NMDA Receptors And Postsynaptic Events R-HSA-442755","6/74",0.000945532161718004,0.0118846119403632,0,0,5.77235294117647,40.1972958425394,"PRKAA1;PRKAA2;NBEA;PRKAG1;CAMKK1;CAMKK2","Reactome_2022","Downregulated"
"Extension Of Telomeres R-HSA-180786","5/50",0.000978574968200007,0.0121135719548395,0,0,7.25322997416021,50.2606272255237,"CCNA2;POLA1;POLA2;PRIM1;CDK2","Reactome_2022","Downregulated"
"Leading Strand Synthesis R-HSA-69109","3/14",0.00113910065786439,0.0134583603590021,0,0,17.7164716471647,120.07367403006,"POLA1;POLA2;PRIM1","Reactome_2022","Downregulated"
"Removal Of Flap Intermediate R-HSA-69166","3/14",0.00113910065786439,0.0134583603590021,0,0,17.7164716471647,120.07367403006,"POLA1;POLA2;PRIM1","Reactome_2022","Downregulated"
"Chromatin Modifying Enzymes R-HSA-3247509","11/238",0.00114941730147819,0.0134583603590021,0,0,3.19774509071903,21.6439381562099,"H2AX;MORF4L1;SETD2;NCOR1;HDAC3;AEBP2;H2AC21;KMT2B;ARID2;EZH2;PHF8","Reactome_2022","Downregulated"
"G-protein Mediated Events R-HSA-112040","5/52",0.00117089919212219,0.0134583603590021,0,0,6.94387502650739,46.8710403625603,"NBEA;GNAI3;CAMKK1;CAMKK2;GNAI2","Reactome_2022","Downregulated"
"Transcriptional Regulation By TP53 R-HSA-3700989","14/354",0.00117993373063839,0.0134583603590021,0,0,2.72921031426269,18.4011465212025,"FANCI;PRKAA1;PRKAA2;CRADD;PRKAG1;MLH1;AURKB;CCNA2;CCNB1;AIFM2;CHEK1;CDK2;CDK1;AKT1","Reactome_2022","Downregulated"
"Signaling By NOTCH R-HSA-157118","10/203",0.00118604889332699,0.0134583603590021,0,0,3.41356252625683,22.9976068351614,"H2AX;JAG1;NCOR1;HDAC3;NBEA;TACC3;CNTN1;AKT1;FURIN;DLGAP5","Reactome_2022","Downregulated"
"DNA Strand Elongation R-HSA-69190","4/31",0.00122044896025811,0.0136589972675463,0,0,9.64778023056169,64.7224857022352,"GINS1;POLA1;POLA2;PRIM1","Reactome_2022","Downregulated"
